category_mix,revenue,n_items_sold,month,month_total,share_of_month
auto,5168.83,33,2017-01-01,120098.27,4.303833852061316
bed_bath_table,3960.1600000000003,48,2017-01-01,120098.27,3.297433010483832
computers_accessories,3924.1400000000003,31,2017-01-01,120098.27,3.267440904852335
cool_stuff,7784.87,40,2017-01-01,120098.27,6.48208338055161
furniture_decor,13521.31,182,2017-01-01,120098.27,11.258538528490044
garden_tools,8152.75,58,2017-01-01,120098.27,6.788399200088394
health_beauty,12561.32,85,2017-01-01,120098.27,10.459201452277371
housewares,2827.58,28,2017-01-01,120098.27,2.3543886185870955
other,44393.17,357,2017-01-01,120098.27,36.96403786665703
sports_leisure,9717.62,80,2017-01-01,120098.27,8.09139049213615
watches_gifts,8086.52,11,2017-01-01,120098.27,6.733252693814824
auto,12657.68,85,2017-02-01,244959.35,5.167257342901996
bed_bath_table,16200.83,163,2017-02-01,244959.35,6.613681004623828
computers_accessories,11972.59,106,2017-02-01,244959.35,4.8875823682582435
cool_stuff,13323.6,70,2017-02-01,244959.35,5.439106529307821
furniture_decor,20955.2,265,2017-02-01,244959.35,8.554562216139127
garden_tools,12764.61,71,2017-02-01,244959.35,5.210909483553087
health_beauty,22838.79,166,2017-02-01,244959.35,9.323502042277626
housewares,12061.21,79,2017-02-01,244959.35,4.923759799329971
other,94221.47,739,2017-02-01,244959.35,38.464124761924786
sports_leisure,16207.16,155,2017-02-01,244959.35,6.616265106843238
watches_gifts,11756.21,37,2017-02-01,244959.35,4.799249344840277
auto,13697.98,82,2017-03-01,368341.32,3.718827960979235
bed_bath_table,25773.02,289,2017-03-01,368341.32,6.99704828119745
computers_accessories,28145.6,173,2017-03-01,368341.32,7.641173680976112
cool_stuff,20995.31,122,2017-03-01,368341.32,5.699960569180781
furniture_decor,23402.64,327,2017-03-01,368341.32,6.3535201535358565
garden_tools,23617.16,149,2017-03-01,368341.32,6.411759614696499
health_beauty,25927.35,210,2017-03-01,368341.32,7.038946920209766
housewares,13407.17,202,2017-03-01,368341.32,3.6398767317226315
other,141555.22,1144,2017-03-01,368341.32,38.43044815064462
sports_leisure,26849.49,197,2017-03-01,368341.32,7.289296242952053
watches_gifts,24970.38,80,2017-03-01,368341.32,6.7791416939049896
auto,15548.17,88,2017-04-01,353842.98,4.394087456532273
bed_bath_table,24347.690000000002,274,2017-04-01,353842.98,6.880930631999538
computers_accessories,19550.16,135,2017-04-01,353842.98,5.525094775089222
cool_stuff,21623.08,120,2017-04-01,353842.98,6.110925247125151
furniture_decor,21540.53,201,2017-04-01,353842.98,6.087595690043081
garden_tools,18506.28,112,2017-04-01,353842.98,5.230082563740561
health_beauty,22780.85,188,2017-04-01,353842.98,6.438124051521384
housewares,13489.54,177,2017-04-01,353842.98,3.8122954989809323
other,148701.83,1056,2017-04-01,353842.98,42.024807161639885
sports_leisure,24293.76,213,2017-04-01,353842.98,6.865689408335867
watches_gifts,23461.09,96,2017-04-01,353842.98,6.630367514992102
auto,17771.74,117,2017-05-01,503159.19000000006,3.532031284174696
bed_bath_table,33318.55,368,2017-05-01,503159.19000000006,6.6218705058333525
computers_accessories,45397.28,314,2017-05-01,503159.19000000006,9.022448740328084
cool_stuff,33398.47,246,2017-05-01,503159.19000000006,6.637754146952974
furniture_decor,24028.51,279,2017-05-01,503159.19000000006,4.7755283968876725
garden_tools,20607.56,140,2017-05-01,503159.19000000006,4.095634226615239
health_beauty,46786.02,290,2017-05-01,503159.19000000006,9.2984528415351
housewares,21474.7,304,2017-05-01,503159.19000000006,4.26797332271721
other,186778.86000000002,1601,2017-05-01,503159.19000000006,37.12122598814104
sports_leisure,35793.5,313,2017-05-01,503159.19000000006,7.113752607797941
watches_gifts,37804.0,134,2017-05-01,503159.19000000006,7.5133279390166745
auto,29370.7,111,2017-06-01,429916.61,6.831720225929396
bed_bath_table,35114.81,382,2017-06-01,429916.61,8.167818870734024
computers_accessories,37007.08,261,2017-06-01,429916.61,8.607967019464542
cool_stuff,38244.5,201,2017-06-01,429916.61,8.895794931021623
furniture_decor,16911.68,232,2017-06-01,429916.61,3.9337117028346498
garden_tools,15851.17,114,2017-06-01,429916.61,3.6870336319408548
health_beauty,31979.49,259,2017-06-01,429916.61,7.43853325415829
housewares,23441.81,329,2017-06-01,429916.61,5.45264115289707
other,140836.31,1284,2017-06-01,429916.61,32.758983189786505
sports_leisure,32728.43,276,2017-06-01,429916.61,7.612739130967748
watches_gifts,28430.63,122,2017-06-01,429916.61,6.613056890265301
auto,14091.75,116,2017-07-01,492287.3,2.8625052890862714
bed_bath_table,63838.85,578,2017-07-01,492287.3,12.967803556987963
computers_accessories,38616.11,324,2017-07-01,492287.3,7.844222266144181
cool_stuff,37506.76,230,2017-07-01,492287.3,7.618876213138141
furniture_decor,24751.920000000002,320,2017-07-01,492287.3,5.027942016785727
garden_tools,20033.64,189,2017-07-01,492287.3,4.069501691390373
health_beauty,34770.22,315,2017-07-01,492287.3,7.062993499933881
housewares,20724.31,275,2017-07-01,492287.3,4.209799846553019
other,165004.65,1597,2017-07-01,492287.3,33.51795790791272
sports_leisure,37344.43,382,2017-07-01,492287.3,7.58590156601643
watches_gifts,35604.659999999996,167,2017-07-01,492287.3,7.232496146051299
auto,19971.21,165,2017-08-01,568245.79,3.5145372568444366
bed_bath_table,57067.33,511,2017-08-01,568245.79,10.04271936620947
computers_accessories,35025.72,350,2017-08-01,568245.79,6.163832731607215
cool_stuff,39071.03,263,2017-08-01,568245.79,6.875727139131114
furniture_decor,35189.35,433,2017-08-01,568245.79,6.192628369494827
garden_tools,24234.72,237,2017-08-01,568245.79,4.2648305410234535
health_beauty,49813.91,359,2017-08-01,568245.79,8.766261163149135
housewares,23706.29,283,2017-08-01,568245.79,4.171837331166149
other,206332.92,1646,2017-08-01,568245.79,36.3105057056384
sports_leisure,41662.36,424,2017-08-01,568245.79,7.331749875348834
watches_gifts,36170.95,211,2017-08-01,568245.79,6.365370520386961
auto,14544.67,108,2017-09-01,621415.91,2.340569297622264
bed_bath_table,52473.200000000004,533,2017-09-01,621415.91,8.444135265220357
computers_accessories,28930.98,253,2017-09-01,621415.91,4.655654857629892
cool_stuff,37706.36,205,2017-09-01,621415.91,6.067813744903956
furniture_decor,30758.7,347,2017-09-01,621415.91,4.94977671234713
garden_tools,22507.23,225,2017-09-01,621415.91,3.6219268991680624
health_beauty,51537.65,380,2017-09-01,621415.91,8.29358392191793
housewares,20313.26,255,2017-09-01,621415.91,3.268867061997173
other,265597.51,1783,2017-09-01,621415.91,42.740700024883495
sports_leisure,50059.5,459,2017-09-01,621415.91,8.055715857033658
watches_gifts,46986.85,267,2017-09-01,621415.91,7.561256357276079
auto,21479.29,149,2017-10-01,660179.62,3.2535524195672685
bed_bath_table,46198.0,545,2017-10-01,660179.62,6.997792509862695
computers_accessories,42684.29,317,2017-10-01,660179.62,6.465557055517709
cool_stuff,44841.11,257,2017-10-01,660179.62,6.792259052165227
furniture_decor,30189.64,378,2017-10-01,660179.62,4.5729433453277455
garden_tools,25978.74,281,2017-10-01,660179.62,3.9351017833601105
health_beauty,41905.82,360,2017-10-01,660179.62,6.347639147055161
housewares,15996.630000000001,235,2017-10-01,660179.62,2.423072375363541
other,276234.12,1995,2017-10-01,660179.62,41.84226710906344
sports_leisure,49611.45,470,2017-10-01,660179.62,7.514841188220866
watches_gifts,65060.53,313,2017-10-01,660179.62,9.854974014496237
auto,34955.38,263,2017-11-01,1003862.14,3.4820896821549616
bed_bath_table,89172.65000000001,973,2017-11-01,1003862.14,8.88295777346479
computers_accessories,71356.01,526,2017-11-01,1003862.14,7.108148335985655
cool_stuff,56265.340000000004,301,2017-11-01,1003862.14,5.604887141176576
furniture_decor,63011.03,777,2017-11-01,1003862.14,6.276860884503524
garden_tools,45473.18,549,2017-11-01,1003862.14,4.529823188670109
health_beauty,78976.65,583,2017-11-01,1003862.14,7.867280461438658
housewares,34486.22,421,2017-11-01,1003862.14,3.43535418120261
other,369859.18,3157,2017-11-01,1003862.14,36.84362277075217
sports_leisure,63730.92,609,2017-11-01,1003862.14,6.3485729225728145
watches_gifts,96575.58,467,2017-11-01,1003862.14,9.62040265807813
auto,39287.64,268,2017-12-01,742183.79,5.2935190082769115
bed_bath_table,50505.85,552,2017-12-01,742183.79,6.805032753410041
computers_accessories,37880.65,287,2017-12-01,742183.79,5.103944671171004
cool_stuff,38211.55,251,2017-12-01,742183.79,5.1485293150905385
furniture_decor,32011.75,390,2017-12-01,742183.79,4.313183665733255
garden_tools,27404.69,324,2017-12-01,742183.79,3.6924398470087847
health_beauty,61264.66,466,2017-12-01,742183.79,8.254648083866126
housewares,25921.95,295,2017-12-01,742183.79,3.492659143094462
other,298535.46,2610,2017-12-01,742183.79,40.223926205663965
sports_leisure,59547.97,492,2017-12-01,742183.79,8.023345538171885
watches_gifts,71611.62,365,2017-12-01,742183.79,9.648771768513026
auto,35855.02,267,2018-01-01,945456.29,3.7923508869986993
bed_bath_table,76281.9,846,2018-01-01,945456.29,8.068262997118564
computers_accessories,81685.38,699,2018-01-01,945456.29,8.639783865629578
cool_stuff,39524.7,299,2018-01-01,945456.29,4.180489401577729
furniture_decor,54821.79,608,2018-01-01,945456.29,5.798447858440922
garden_tools,26917.94,239,2018-01-01,945456.29,2.847084554273789
health_beauty,72190.49,626,2018-01-01,945456.29,7.635518507153832
housewares,37717.44,355,2018-01-01,945456.29,3.989337254290201
other,353540.96,3213,2018-01-01,945456.29,37.39368638607291
sports_leisure,91368.43000000001,652,2018-01-01,945456.29,9.663950725844765
watches_gifts,75552.24,369,2018-01-01,945456.29,7.991087562599008
auto,41617.31,318,2018-02-01,837895.43,4.966885903650292
bed_bath_table,60496.18,687,2018-02-01,837895.43,7.220015509572597
computers_accessories,100367.79000000001,976,2018-02-01,837895.43,11.978557992612513
cool_stuff,30787.21,186,2018-02-01,837895.43,3.674349912613797
furniture_decor,38386.96,427,2018-02-01,837895.43,4.581354501479976
garden_tools,26788.13,295,2018-02-01,837895.43,3.1970731717679852
health_beauty,86561.78,660,2018-02-01,837895.43,10.330857157199198
housewares,35204.03,395,2018-02-01,837895.43,4.201482516738396
other,279391.02,2678,2018-02-01,837895.43,33.34437806875256
sports_leisure,75308.83,645,2018-02-01,837895.43,8.987855441579386
watches_gifts,62986.19,330,2018-02-01,837895.43,7.517189824033292
auto,44753.24,344,2018-03-01,981051.06,4.56176460377098
bed_bath_table,69256.39,798,2018-03-01,981051.06,7.059407285080554
computers_accessories,85592.53,757,2018-03-01,981051.06,8.724574437542527
cool_stuff,38353.22,256,2018-03-01,981051.06,3.909401005081224
furniture_decor,52134.24,593,2018-03-01,981051.06,5.31412095920879
garden_tools,27314.25,260,2018-03-01,981051.06,2.7841823034165007
health_beauty,89759.44,670,2018-03-01,981051.06,9.149313798203327
housewares,37463.4,405,2018-03-01,981051.06,3.818700323304273
other,353909.0,2926,2018-03-01,981051.06,36.07447302488007
sports_leisure,84654.27,756,2018-03-01,981051.06,8.628936194207872
watches_gifts,97861.08,430,2018-03-01,981051.06,9.97512606530388
auto,49351.89,355,2018-04-01,993592.98,4.967012750029696
bed_bath_table,72328.35,745,2018-04-01,993592.98,7.279474740250279
computers_accessories,59596.0,543,2018-04-01,993592.98,5.998029494934636
cool_stuff,35025.41,206,2018-04-01,993592.98,3.52512655634906
furniture_decor,56743.11,593,2018-04-01,993592.98,5.710900856002425
garden_tools,35037.64,288,2018-04-01,993592.98,3.5263574426622863
health_beauty,91751.04,694,2018-04-01,993592.98,9.234268140662587
housewares,45405.96,471,2018-04-01,993592.98,4.569875282331403
other,388348.43,2959,2018-04-01,993592.98,39.08526306214442
sports_leisure,67346.58,598,2018-04-01,993592.98,6.778085328259868
watches_gifts,92658.57,505,2018-04-01,993592.98,9.325606346373341
auto,40900.24,310,2018-05-01,992871.75,4.1193880277085135
bed_bath_table,71664.93000000001,746,2018-05-01,992871.75,7.2179443115387265
computers_accessories,51340.73,462,2018-05-01,992871.75,5.170932701026089
cool_stuff,30039.11,176,2018-05-01,992871.75,3.025477358984179
furniture_decor,54056.05,602,2018-05-01,992871.75,5.444414145130023
garden_tools,37863.18,291,2018-05-01,992871.75,3.813501592728366
health_beauty,95950.68,765,2018-05-01,992871.75,9.663955087855003
housewares,63003.57,619,2018-05-01,992871.75,6.345589951572295
other,364581.48,2800,2018-05-01,992871.75,36.71989660296005
sports_leisure,59599.12,491,2018-05-01,992871.75,6.002700751632827
watches_gifts,123872.66,636,2018-05-01,992871.75,12.47619946886393
auto,45407.49,300,2018-06-01,863265.53,5.259967926670257
bed_bath_table,71545.58,772,2018-06-01,863265.53,8.287783713546398
computers_accessories,41999.25,404,2018-06-01,863265.53,4.865160085796545
cool_stuff,19316.37,103,2018-06-01,863265.53,2.2375931076502034
furniture_decor,42190.22,405,2018-06-01,863265.53,4.8872819003904855
garden_tools,18018.71,185,2018-06-01,863265.53,2.0872731939152023
health_beauty,107795.99,884,2018-06-01,863265.53,12.487002695451073
housewares,55976.5,579,2018-06-01,863265.53,6.484273732092604
other,328587.85,2525,2018-06-01,863265.53,38.06335809562557
sports_leisure,45542.01,422,2018-06-01,863265.53,5.275550617664532
watches_gifts,86885.56,481,2018-06-01,863265.53,10.064754931197125
auto,43564.79,342,2018-07-01,878044.27,4.9615710150924395
bed_bath_table,54904.92,621,2018-07-01,878044.27,6.253092455121881
computers_accessories,41581.48,424,2018-07-01,878044.27,4.735692882546799
cool_stuff,21351.81,117,2018-07-01,878044.27,2.4317464084128697
furniture_decor,45659.39,438,2018-07-01,878044.27,5.20012390719206
garden_tools,26173.78,179,2018-07-01,878044.27,2.9809180350325617
health_beauty,105517.68,782,2018-07-01,878044.27,12.017353065808402
housewares,63146.37,571,2018-07-01,878044.27,7.191706860065268
other,324758.68,2571,2018-07-01,878044.27,36.98659522030706
sports_leisure,55172.78,466,2018-07-01,878044.27,6.283598889609518
watches_gifts,96212.59,528,2018-07-01,878044.27,10.957601260811144
auto,45182.46,374,2018-08-01,848860.1,5.322721612194989
bed_bath_table,61035.88,658,2018-08-01,848860.1,7.190334426132174
computers_accessories,40268.93,418,2018-08-01,848860.1,4.7438830026290555
cool_stuff,16354.58,123,2018-08-01,848860.1,1.9266519889437612
furniture_decor,41320.25,432,2018-08-01,848860.1,4.8677337997156425
garden_tools,16404.7,137,2018-08-01,848860.1,1.9325563776645882
health_beauty,120475.71,843,2018-08-01,848860.1,14.19264611447752
housewares,59770.79,625,2018-08-01,848860.1,7.041300445149914
other,324579.58,2717,2018-08-01,848860.1,38.237111156479145
sports_leisure,51190.16,473,2018-08-01,848860.1,6.030458964910708
watches_gifts,72277.06,416,2018-08-01,848860.1,8.514602111702505
