category,n_items_sold,n_orders_containing,revenue,pct_of_total_revenue,cumulative_pct_of_revenue,revenue_rank,n_primary_orders,avg_review_score,pct_late
health_beauty,9634,8800,1255695.13,9.305304875657635,9.305304875657635,1,8562,4.235108619481429,8.991635687732343
watches_gifts,5970,5604,1198185.21,8.879128707422693,18.184433583080327,2,5430,4.1267034990791895,8.555758683729433
bed_bath_table,11097,9399,1035964.06,7.676991961037613,25.861425544117942,3,9072,4.010802469135802,8.84695101996291
sports_leisure,8590,7673,979740.92,7.26035145151618,33.12177699563412,4,7446,4.233145312919689,7.797062750333779
computers_accessories,7781,6654,904322.02,6.701461127646933,39.82323812328106,5,6469,4.083938784974494,7.7384615384615385
furniture_decor,8298,6425,727465.05,5.390865915547133,45.21410403882819,6,6167,4.072806875304037,8.56269113149847
housewares,6915,5847,626825.8,4.645080667731824,49.859184706560015,7,5655,4.203183023872679,6.9971870604782
cool_stuff,3779,3616,620770.49,4.600207908157914,54.45939261471793,8,3502,4.227584237578527,6.855524079320113
auto,4204,3872,586585.73,4.346882394423393,58.80627500914132,9,3774,4.151033386327504,8.649789029535865
garden_tools,4328,3505,481009.94,3.5645150108384884,62.370790019979815,10,3395,4.194108983799706,8.025776215582894
toys,4083,3855,479808.54,3.555612058990921,65.92640207897074,11,3748,4.240128068303095,7.517204870301747
baby,3043,2868,410312.2,3.0406107533456876,68.96701283231643,12,2741,4.121853338197738,9.337676438653638
perfumery,3402,3146,396599.31,2.9389916428404517,71.90600447515688,13,3063,4.266405484818805,7.419459811259356
telephony,4527,4183,322342.64,2.388714002278845,74.29471847743572,14,4052,4.056021717670286,8.537782139352307
office_furniture,1690,1272,273580.7,2.0273645734341814,76.3220830508699,15,1236,3.650485436893204,9.229534510433385
stationery,2505,2299,229593.84,1.7014007841003247,78.02348383497024,16,2234,4.306177260519248,7.78816199376947
computers,203,181,222963.13,1.6522640337713879,79.67574786874162,17,173,4.242774566473988,6.8181818181818175
pet_shop,1942,1706,213766.63,1.5841135454526307,81.25986141419425,18,1674,4.280167264038232,6.302021403091558
small_appliances,671,622,187907.26,1.3924831759516876,82.65234459014593,19,601,4.264559068219634,6.270627062706271
musical_instruments,669,620,187788.44,1.3916026626018223,84.04394725274776,20,601,4.247920133111481,8.896210873146623
unknown,1589,1437,178572.55,1.323308485056892,85.36725573780465,21,1350,4.028148148148148,8.977189109639442
electronics,2755,2543,157079.54,1.1640349432812236,86.53129068108588,22,2488,4.128617363344051,9.852413242919825
consoles_games,1127,1054,154927.27,1.1480855873856315,87.67937626847151,23,1005,4.1850746268656716,8.185404339250493
fashion_bags_accessories,2025,1858,151622.75,1.1235975047825653,88.80297377325408,24,1802,4.241953385127636,6.629834254143646
construction_tools_construction,927,746,144550.19,1.071186433433279,89.87416020668736,25,723,4.132780082987552,9.203296703296704
luggage_accessories,1088,1030,140111.38,1.0382927163611122,90.91245292304848,26,1004,4.379482071713148,5.4563492063492065
home_appliances_2,235,231,110649.74,0.8199677935457549,91.73242071659423,27,225,4.155555555555556,7.079646017699115
home_construction,603,489,83010.12,0.6151449152828405,92.34756563187707,28,464,4.053879310344827,8.15450643776824
home_appliances,769,762,80001.24,0.5928476672762574,92.94041329915333,29,744,4.212365591397849,6.693440428380187
agro_industry_and_commerce,212,182,72530.47,0.5374856682965234,93.47789896744986,30,177,4.107344632768362,5.084745762711865
furniture_living_room,501,420,68638.56,0.5086447432714971,93.98654371072136,31,404,4.094059405940594,8.557457212713937
home_confort,434,397,58572.04,0.4340469882918269,94.42059069901319,32,368,3.907608695652174,10.27027027027027
fixed_telephony,261,214,57824.21,0.4285052083016767,94.84909590731486,33,209,3.9665071770334928,5.188679245283019
air_conditioning,295,251,54723.16,0.4055249362633054,95.25462084357817,34,241,4.128630705394191,4.081632653061225
audio,363,349,50668.6,0.3754786965071263,95.6300995400853,35,341,3.8475073313782993,13.08139534883721
small_appliances_home_oven_and_coffee,76,75,47445.71,0.3515955314663347,95.98169507155163,36,72,4.430555555555555,6.944444444444445
kitchen_dining_laundry_garden_furniture,279,246,46070.37,0.34140360055736724,96.323098672109,37,237,4.135021097046414,4.602510460251046
books_general_interest,546,505,45622.29,0.3380831122405218,96.66118178434952,38,488,4.538934426229508,6.910569105691057
construction_tools_lights,302,243,40002.0,0.296434060101879,96.9576158444514,39,228,4.214912280701754,9.090909090909092
industry_commerce_and_business,268,235,39669.61,0.293970890329436,97.25158673478083,40,226,4.234513274336283,8.333333333333332
construction_tools_safety,189,165,39589.02,0.2933736796673788,97.54496041444821,41,153,4.019607843137255,4.545454545454546
food,509,449,29243.51,0.2167084745995175,97.76166888904773,42,431,4.324825986078887,10.114942528735632
market_place,310,279,28288.47,0.20963116884581273,97.97130005789354,43,266,4.116541353383458,4.850746268656716
costruction_tools_garden,234,192,25552.18,0.1893539438491583,98.1606540017427,44,183,4.278688524590164,7.103825136612022
art,208,201,24167.64,0.17909383651518862,98.33974783825789,45,189,4.126984126984127,7.853403141361256
fashion_shoes,260,238,23352.88,0.17305607303314754,98.51280391129104,46,229,4.275109170305677,6.437768240343347
drinks,378,296,22378.71,0.1658370047783241,98.67864091606937,47,284,4.257042253521127,6.690140845070422
signaling_and_security,199,140,21509.23,0.1593937397771396,98.83803465584651,48,137,4.116788321167883,5.797101449275362
furniture_bedroom,109,95,20028.78,0.14842289321252217,98.98645754905904,49,89,4.292134831460674,7.865168539325842
books_technical,267,260,19096.06,0.1415109893942575,99.1279685384533,50,254,4.425196850393701,10.980392156862745
costruction_tools_tools,103,97,15903.95,0.11785591895798407,99.24582445741129,51,94,4.425531914893617,6.185567010309279
food_drink,276,225,15119.48,0.1120426189447817,99.35786707635607,52,218,4.444954128440367,6.422018348623854
fashion_male_clothing,131,111,10748.82,0.07965392615129942,99.43752100250737,53,105,3.8190476190476192,4.716981132075472
fashion_underwear_beach,131,121,9541.55,0.07070747478038807,99.50822847728776,54,116,4.008620689655173,12.82051282051282
christmas_supplies,152,127,8787.83,0.06512204705727452,99.57335052434503,55,123,4.1138211382113825,9.6
tablets_printing_image,83,79,7528.41,0.05578913910333451,99.62913966344837,56,75,4.173333333333333,6.493506493506493
cine_photo,72,65,6933.46,0.051380273445177094,99.68051993689355,57,63,4.333333333333333,7.936507936507936
music,38,38,6034.35,0.04471743589259971,99.72523737278614,58,37,4.297297297297297,8.108108108108109
books_imported,60,53,4639.85,0.03438352016808418,99.75962089295422,59,49,4.510204081632653,2.0408163265306123
dvds_blu_ray,62,57,4559.49,0.03378801391665207,99.79340890687087,60,56,4.196428571428571,7.142857142857142
party_supplies,43,39,4485.18,0.033237341075139884,99.826646247946,61,38,4.078947368421052,2.631578947368421
furniture_mattress_and_upholstery,38,38,4368.08,0.032369573752557765,99.85901582169856,62,37,3.891891891891892,13.513513513513514
kitchen_portables_and_food_prep,14,13,3933.63,0.029150090291449285,99.88816591199001,63,13,3.6153846153846154,7.6923076923076925
fashio_female_clothing,48,39,2803.64,0.020776320890556272,99.90894223288058,64,36,3.9166666666666665,5.555555555555555
fashion_sport,30,27,2119.51,0.015706588538736403,99.92464882141931,65,24,4.541666666666667,8.333333333333332
la_cuisine,14,13,2054.99,0.015228464306003706,99.93987728572532,66,11,4.545454545454546,0.0
arts_and_craftmanship,24,23,1814.01,0.013442686599805248,99.95331997232512,67,22,4.136363636363637,9.090909090909092
diapers_and_hygiene,38,26,1538.79,0.011403174024903014,99.96472314635002,68,25,3.96,4.0
pc_gamer,8,7,1306.95,0.009685128114848026,99.97440827446488,69,6,3.8333333333333335,0.0
flowers,33,29,1110.04,0.008225930305371975,99.98263420477025,70,28,4.392857142857143,3.4482758620689653
home_comfort_2,30,24,760.27,0.0056339663735227126,99.98826817114377,71,21,3.9047619047619047,18.181818181818183
cds_dvds_musicals,14,12,730.0,0.005409651114303577,99.99367782225808,72,12,4.666666666666667,0.0
fashion_childrens_clothes,8,8,569.85,0.004222862585597114,99.99790068484367,73,7,5.0,0.0
security_and_services,2,2,283.28999999999996,0.002099315156398712,100.00000000000007,74,2,2.5,0.0
