week,n_delivered,n_late,avg_actual_delivery_days,pct_late
2018-01-15,1704,130,13.915212843418535,7.629107981220657
2018-01-22,1545,130,14.18414252966559,8.414239482200648
2018-01-29,1561,123,15.629997886860275,7.879564381806534
2018-02-05,1541,149,16.575341461472828,9.669046073977936
2018-02-12,1595,235,16.062635391269012,14.733542319749215
2018-02-19,1713,365,17.561071591695317,21.30764740221833
2018-02-26,1849,536,19.091186621146566,28.988642509464576
2018-03-05,1598,442,18.128273463936402,27.659574468085108
2018-03-12,1541,356,16.783061909654624,23.101881894873458
2018-03-19,1671,236,13.91559754360884,14.12327947336924
2018-03-26,1431,193,13.893536053523825,13.487071977638015
2018-04-02,1555,126,11.911071454090747,8.102893890675242
2018-04-09,1522,61,11.582467460274007,4.0078843626806835
