revenue_decile,n_sellers,total_orders,decile_revenue,pct_of_total_revenue,cumulative_pct_of_revenue
1,306,60471,9108736.71,67.5001201276019,67.5001201276019
2,305,16147,2034669.23,15.07787762645027,82.57799775405218
3,305,9487,1032000.54,7.647620371469714,90.22561812552189
4,305,4738,552556.44,4.094708988166597,94.32032711368849
5,305,3102,328358.21,2.433292269338668,96.75361938302716
6,306,2071,203024.79,1.5045113444585607,98.25813072748572
7,305,1583,117684.85,0.872101342382396,99.13023206986811
8,305,935,67350.68,0.49910093302890884,99.62933300289703
9,305,610,36336.82,0.26927331342910743,99.89860631632614
10,306,398,13682.47,0.1013936836738702,100.00000000000001
